,Specimen_name,Age,CS,Subclass,Major_clades,Species,CS_logged,CS_percent_adult,Percent_binned,CS_binned,CS_binned_group,Ordered,Binned_age,Dev_strategy,Diet,Diet_3
32,Dasyprocta_leporina_NHMUK_67.4.12.585_spec1,E,75.18211318,Eutheria,Euarchontoglires,Dasyprocta leporina,4.319913346,19.23007806,Group1,E,Group1,1,Group1,Precocial,Herbivore,Herbivore
33,Dasyprocta_leporina_NHMUK_67.4.12.585_spec2,E,80.09008243,Eutheria,Euarchontoglires,Dasyprocta leporina,4.383152032,20.48543824,Group1,E,Group1,2,Group1,Precocial,Herbivore,Herbivore
34,Dasyprocta_leporina_NHMUK_97.8.13.2,I,281.0726874,Eutheria,Euarchontoglires,Dasyprocta leporina,5.63861331,71.89276132,Group3,I,Group2,6,Group3,Precocial,Herbivore,Herbivore
35,Dasyprocta_leporina_NHMUK_ZD.2021.1,I,186.4839458,Eutheria,Euarchontoglires,Dasyprocta leporina,5.228345154,47.69885658,Group2,I,Group2,3,Group2,Precocial,Herbivore,Herbivore
36,Dasypus_novemcinctus_MNHN_1901-331,I,148.0826996,Eutheria,Xenarthra,Dasypus novemcinctus,4.997770899,40.81705198,Group2,I,Group2,2,Group2,Precocial,Insectivore,Faunivore
37,Dasypus_novemcinctus_MNHN_1910-409b,I,169.7767179,Eutheria,Xenarthra,Dasypus novemcinctus,5.13448415,46.7967233,Group2,I,Group2,5,Group3,Precocial,Insectivore,Faunivore
38,Dasypus_novemcinctus_MNHN_1910-410,I,163.8527501,Eutheria,Xenarthra,Dasypus novemcinctus,5.098968159,45.16385935,Group2,I,Group2,4,Group3,Precocial,Insectivore,Faunivore
39,Dasypus_novemcinctus_z.134,A,362.7961659,Eutheria,Xenarthra,Dasypus novemcinctus,5.89384115,100,Group4,A,Group4,6,Group4,Precocial,Insectivore,Faunivore
40,Dasypus_novemcinctus_ZMB_40641,E,121.6060749,Eutheria,Xenarthra,Dasypus novemcinctus,4.800786926,33.51911799,Group2,E,Group1,1,Group1,Precocial,Insectivore,Faunivore
41,Dasypus_novemcinctus_ZMB_40651,I,154.5796138,Eutheria,Xenarthra,Dasypus novemcinctus,5.040709263,42.60784108,Group2,I,Group2,3,Group2,Precocial,Insectivore,Faunivore
42,Epomops_franqueti_NHMUK_48.283,E,90.53150529,Eutheria,Laurasiatheria,Epomops franqueti,4.505697915,44.84582188,Group2,E,Group1,2,Group1,Altricial,Frugivore,Herbivore
43,Epomops_franqueti_NHMUK_66.3499,A,201.8727754,Eutheria,Laurasiatheria,Epomops franqueti,5.307637674,100,Group4,A,Group4,5,Group4,Altricial,Frugivore,Herbivore
44,Epomops_franqueti_NHMUK_68.353,E,99.05032445,Eutheria,Laurasiatheria,Epomops franqueti,4.595628049,49.06571689,Group2,E,Group1,3,Group1,Altricial,Frugivore,Herbivore
45,Epomops_franqueti_NHMUK_69.198,E,60.33189323,Eutheria,Laurasiatheria,Epomops franqueti,4.099860873,29.88609688,Group1,E,Group1,1,Group1,Altricial,Frugivore,Herbivore
46,Epomops_franqueti_NHMUK_80.7.21.4,I,137.4458672,Eutheria,Laurasiatheria,Epomops franqueti,4.923230146,68.08539038,Group3,I,Group2,4,Group3,Altricial,Frugivore,Herbivore
47,Felis_catus_NHMUK_19.7.7.3514,I,209.7426884,Eutheria,Laurasiatheria,Felis catus,5.345881486,54.28662862,Group3,I,Group2,5,Group3,Semi-altricial,Carnivore,Faunivore
48,Felis_catus_NHMUK_1952.10.20.1,A,386.3616027,Eutheria,Laurasiatheria,Felis catus,5.956773726,100,Group4,A,Group4,7,Group4,Semi-altricial,Carnivore,Faunivore
49,Felis_catus_NHMUK_1952.10.20.2,I,304.451877,Eutheria,Laurasiatheria,Felis catus,5.718513035,78.79972411,Group4,SA,Group3,6,Group3,Semi-altricial,Carnivore,Faunivore
50,Felis_catus_NHMUK_1992.178,I,146.6345029,Eutheria,Laurasiatheria,Felis catus,4.987943116,37.95265934,Group2,I,Group2,3,Group2,Semi-altricial,Carnivore,Faunivore
51,Felis_catus_NHMUK_1992.184,I,141.1083057,Eutheria,Laurasiatheria,Felis catus,4.949527721,36.52234195,Group2,I,Group2,2,Group2,Semi-altricial,Carnivore,Faunivore
52,Felis_catus_NHMUK_1999.132,E,115.3200709,Eutheria,Laurasiatheria,Felis catus,4.747711488,29.84770487,Group1,E,Group1,1,Group1,Semi-altricial,Carnivore,Faunivore
53,Felis_catus_NHMUK_69.508,I,168.5718604,Eutheria,Laurasiatheria,Felis catus,5.12736213,43.63059352,Group2,I,Group2,4,Group2,Semi-altricial,Carnivore,Faunivore
54,Macroscelides_proboscideus_NHMUK_2.9.1.17,I,97.54496438,Eutheria,Afrotheria,Macroscelides proboscideus,4.580313445,77.06624954,Group4,I,Group2,2,Group2,Precocial,Insectivore,Faunivore
55,Macroscelides_proboscideus_NHMUK_2.9.1.18,I,111.9634949,Eutheria,Afrotheria,Macroscelides proboscideus,4.71817288,88.45773528,Group4,I,Group2,3,Group2,Precocial,Insectivore,Faunivore
56,Macroscelides_proboscideus_NHMUK_3.1.4.10,A,126.5728707,Eutheria,Afrotheria,Macroscelides proboscideus,4.840818195,100,Group4,A,Group4,6,Group4,Precocial,Insectivore,Faunivore
57,Macroscelides_proboscideus_UMZC_48,E,73.27530861,Eutheria,Afrotheria,Macroscelides proboscideus,4.294223698,57.89179641,Group3,E,Group1,1,Group1,Precocial,Insectivore,Faunivore
58,Macroscelides_proboscideus_UMZC_w3,I,112.0766263,Eutheria,Afrotheria,Macroscelides proboscideus,4.719182801,88.54711573,Group4,I,Group2,4,Group3,Precocial,Insectivore,Faunivore
59,Macroscelides_proboscideus_UMZC_w39,I,121.0103747,Eutheria,Afrotheria,Macroscelides proboscideus,4.795876283,95.60530154,Group4,SA,Group3,5,Group3,Precocial,Insectivore,Faunivore
60,Manis_tricuspis_NHMUK_1.8.9.108,A,240.8285552,Eutheria,Laurasiatheria,Manis tricuspis,5.484085291,100,Group4,A,Group4,7,Group4,Semi-precocial,Insectivore,Faunivore
61,Manis_tricuspis_NHMUK_1999.102,E,145.3193246,Eutheria,Laurasiatheria,Manis tricuspis,4.97893356,60.34140116,Group3,E,Group1,1,Group1,Semi-precocial,Insectivore,Faunivore
62,Manis_tricuspis_NHMUK_1999.93,I,175.4496671,Eutheria,Laurasiatheria,Manis tricuspis,5.167352205,72.85251824,Group3,I,Group2,3,Group2,Semi-precocial,Insectivore,Faunivore
63,Manis_tricuspis_NHMUK_66.3562,I,217.3550009,Eutheria,Laurasiatheria,Manis tricuspis,5.381531966,90.25300207,Group4,SA,Group3,6,Group3,Semi-precocial,Insectivore,Faunivore
64,Manis_tricuspis_NHMUK_9.1.4.66,I,180.5671042,Eutheria,Laurasiatheria,Manis tricuspis,5.196102477,74.97744777,Group3,I,Group2,4,Group2,Semi-precocial,Insectivore,Faunivore
65,Manis_tricuspis_NHMUK_91.363,I,203.2322409,Eutheria,Laurasiatheria,Manis tricuspis,5.314349369,84.38876392,Group4,I,Group2,5,Group3,Semi-precocial,Insectivore,Faunivore
66,Manis_tricuspis_NHMUK_95.7.17.1,I,167.6921359,Eutheria,Laurasiatheria,Manis tricuspis,5.122129774,69.63133411,Group3,I,Group2,2,Group2,Semi-precocial,Insectivore,Faunivore
67,Microcebus_murinus_DLC_7030f,A,140.6334422,Eutheria,Euarchontoglires,Microcebus murinus,4.946156805,98.38397162,Group4,A,Group4,3,Group4,Semi-altricial,Frugivore,Herbivore
68,Microcebus_murinus_infant1,I,89.30794711,Eutheria,Euarchontoglires,Microcebus murinus,4.492090477,62.47781748,Group3,I,Group2,1,Group2,Semi-altricial,Frugivore,Herbivore
69,Microcebus_murinus_infant2,I,123.0739094,Eutheria,Euarchontoglires,Microcebus murinus,4.812785064,86.0997201,Group4,I,Group2,2,Group2,Semi-altricial,Frugivore,Herbivore
70,Microcebus_murinus_juvenile,I,142.9434489,Eutheria,Euarchontoglires,Microcebus murinus,4.96244909,100,Group4,SA,Group3,4,Group3,Semi-altricial,Frugivore,Herbivore
71,Monodelphis_domestica_10days,E,19.8529336,Metatheria,Marsupialia,Monodelphis domestica,2.988351785,12.13896139,Group1,E,Group1,2,Group1,Super-altricial,Omnivore,Omnivore
72,Monodelphis_domestica_20days,E,50.96146191,Metatheria,Marsupialia,Monodelphis domestica,3.931069698,31.16009105,Group2,E,Group1,4,Group1,Super-altricial,Omnivore,Omnivore
73,Monodelphis_domestica_22days,I,51.11679518,Metatheria,Marsupialia,Monodelphis domestica,3.934113116,31.25506868,Group2,I,Group2,5,Group2,Super-altricial,Omnivore,Omnivore
74,Monodelphis_domestica_25days,I,59.60037222,Metatheria,Marsupialia,Monodelphis domestica,4.087661819,36.44230278,Group2,I,Group2,6,Group2,Super-altricial,Omnivore,Omnivore
75,Monodelphis_domestica_30days,I,66.82122569,Metatheria,Marsupialia,Monodelphis domestica,4.20202078,40.85745185,Group2,I,Group2,7,Group2,Super-altricial,Omnivore,Omnivore
76,Monodelphis_domestica_35days,I,74.13892012,Metatheria,Marsupialia,Monodelphis domestica,4.305940632,45.33181378,Group2,I,Group2,8,Group2,Super-altricial,Omnivore,Omnivore
77,Monodelphis_domestica_6days,I,16.13896211,Metatheria,Marsupialia,Monodelphis domestica,2.781236355,9.86807501,Group1,E,Group1,1,Group1,Super-altricial,Omnivore,Omnivore
78,Monodelphis_domestica_TMM-M-7539_57days,I,96.72012241,Metatheria,Marsupialia,Monodelphis domestica,4.571821472,59.13895927,Group3,I,Group2,10,Group3,Super-altricial,Omnivore,Omnivore
79,Monodelphis_domestica_TMM-M-7542_75days,I,108.2991896,Metatheria,Marsupialia,Monodelphis domestica,4.684897671,66.21891292,Group3,I,Group2,11,Group3,Super-altricial,Omnivore,Omnivore
80,Monodelphis_domestica_TMM-M-8268_90days,I,130.3215978,Metatheria,Marsupialia,Monodelphis domestica,4.870005225,79.684387,Group4,SA,Group3,12,Group3,Super-altricial,Omnivore,Omnivore
81,Monodelphis_domestica_TMM-M-8269_48days,I,91.71048879,Metatheria,Marsupialia,Monodelphis domestica,4.518636754,56.07584778,Group3,I,Group2,9,Group3,Super-altricial,Omnivore,Omnivore
82,Monodelphis_domestica_TMM-M-9038_adult,A,163.5472176,Metatheria,Marsupialia,Monodelphis domestica,5.097101741,100,Group4,A,Group4,13,Group4,Super-altricial,Omnivore,Omnivore
83,Monodelphis_domestica_UMUT-DK150007_15days,E,41.1187478,Metatheria,Marsupialia,Monodelphis domestica,3.716464168,25.14182045,Group1,E,Group1,3,Group1,Super-altricial,Omnivore,Omnivore
84,Mus_musculus_14days_cfos_WT_1051,I,67.85540875,Eutheria,Euarchontoglires,Mus musculus,4.217379099,77.47578068,Group4,I,Group2,1,Group2,Altricial,Omnivore,Omnivore
85,Mus_musculus_18days_cfos_WT_1044,I,75.5517106,Eutheria,Euarchontoglires,Mus musculus,4.32481733,86.26324516,Group4,I,Group2,2,Group2,Altricial,Omnivore,Omnivore
86,Mus_musculus_25days_CD1_harddiet1,I,78.3000037,Eutheria,Euarchontoglires,Mus musculus,4.36054765,89.40118445,Group4,I,Group2,3,Group2,Altricial,Omnivore,Omnivore
87,Mus_musculus_4.5moths_cfos_WT_1485,A,87.58273638,Eutheria,Euarchontoglires,Mus musculus,4.472583905,100,Group4,A,Group4,6,Group4,Altricial,Omnivore,Omnivore
88,Mus_musculus_5wks_cfos_het_1038,I,82.80038976,Eutheria,Euarchontoglires,Mus musculus,4.416432769,94.53962411,Group4,I,Group2,4,Group3,Altricial,Omnivore,Omnivore
89,Mus_musculus_9wk_CD1_harddiet1,I,85.80655415,Eutheria,Euarchontoglires,Mus musculus,4.452095392,97.97199505,Group4,SA,Group3,5,Group3,Altricial,Omnivore,Omnivore
90,Ornithorhynchus_anatinus_NHMUK_1859.5.30.13,I,238.4324369,Prototheria,Monotremata,Ornithorhynchus anatinus,5.474085987,72.7690294,Group3,I,Group2,1,Group2,Super-altricial,Carnivore,Faunivore
91,Ornithorhynchus_anatinus_NHMUK_90.12.4.5,A,327.6564754,Prototheria,Monotremata,Ornithorhynchus anatinus,5.791965728,100,Group4,A,Group4,4,Group4,Super-altricial,Carnivore,Faunivore
92,Ornithorhynchus_anatinus_NHMUK_90.12.4.6,I,300.1782475,Prototheria,Monotremata,Ornithorhynchus anatinus,5.704376457,91.61370827,Group4,I,Group2,2,Group3,Super-altricial,Carnivore,Faunivore
93,Ornithorhynchus_anatinus_NHMUK_no_number,I,302.458979,Prototheria,Monotremata,Ornithorhynchus anatinus,5.711945662,92.30978226,Group4,SA,Group3,3,Group3,Super-altricial,Carnivore,Faunivore
94,Phacochoerus_aethiopicus_NHMUK_66.425,A,1465.473463,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,7.289933652,100,Group4,A,Group4,11,Group4,Precocial,Herbivore,Herbivore
95,Phacochoerus_aethiopicus_NHMUK_66.428,I,1035.65095,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,6.942785445,70.67005825,Group3,I,Group2,8,Group3,Precocial,Herbivore,Herbivore
96,Phacochoerus_aethiopicus_NHMUK_66.517,I,803.5290808,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,6.689013377,54.83068108,Group3,I,Group2,6,Group2,Precocial,Herbivore,Herbivore
97,Phacochoerus_aethiopicus_NHMUK_66.523,I,944.0174923,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,6.850144696,64.41723553,Group3,I,Group2,7,Group2,Precocial,Herbivore,Herbivore
98,Phacochoerus_aethiopicus_NHMUK_66.807_01AUG1962_spec2,E,337.3779192,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,5.821203724,23.02176926,Group1,E,Group1,1,Group1,Precocial,Herbivore,Herbivore
99,Phacochoerus_aethiopicus_NHMUK_66.807_28AUG1962,E,359.3361574,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,5.884258322,24.52014086,Group1,E,Group1,2,Group1,Precocial,Herbivore,Herbivore
100,Phacochoerus_aethiopicus_NHMUK_66.808_A,E,353.4430063,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,5.867722245,24.11800795,Group1,E,Group1,3,Group1,Precocial,Herbivore,Herbivore
101,Phacochoerus_aethiopicus_NHMUK_66.811,I,411.8411608,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,6.020637743,28.10294224,Group1,I,Group2,4,Group2,Precocial,Herbivore,Herbivore
102,Phacochoerus_aethiopicus_NHMUK_71.2124,I,1090.918161,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,6.99477497,74.44134531,Group3,I,Group2,9,Group3,Precocial,Herbivore,Herbivore
103,Phacochoerus_aethiopicus_NHMUK_71.2125,I,1149.77733,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,7.047323577,78.457738,Group4,SA,Group3,10,Group3,Precocial,Herbivore,Herbivore
104,Phacochoerus_aethiopicus_NHMUK_71.7.3.4,I,593.9176848,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,6.386740732,40.52735855,Group2,I,Group2,5,Group2,Precocial,Herbivore,Herbivore
105,Phascolarctos_cincereus_KoalasBottomMiddle_spec2,I,260.5832059,Metatheria,Marsupialia,Phascolarctos cincereus,5.562922219,52.54573099,Group2,I,Group2,8,Group3,Super-altricial,Herbivore,Herbivore
106,Phascolarctos_cincereus_Pcin3-1_57days,I,90.37996137,Metatheria,Marsupialia,Phascolarctos cincereus,4.504022577,18.2248166,Group1,I,Group2,7,Group2,Super-altricial,Herbivore,Herbivore
107,Phascolarctos_cincereus_Pcin3-13_51days,I,74.68562597,Metatheria,Marsupialia,Phascolarctos cincereus,4.31328765,15.06010641,Group1,I,Group2,6,Group2,Super-altricial,Herbivore,Herbivore
108,Phascolarctos_cincereus_Pcin3-5_46days,I,73.18727149,Metatheria,Marsupialia,Phascolarctos cincereus,4.293021519,14.75796825,Group1,I,Group2,5,Group2,Super-altricial,Herbivore,Herbivore
109,Phascolarctos_cincereus_Pcin3-6_25days,I,49.30691805,Metatheria,Marsupialia,Phascolarctos cincereus,3.898064397,9.942574935,Group1,I,Group2,3,Group2,Super-altricial,Herbivore,Herbivore
110,Phascolarctos_cincereus_Pcin3-7_21days,I,43.47890878,Metatheria,Marsupialia,Phascolarctos cincereus,3.772275965,8.767376379,Group1,I,Group2,2,Group2,Super-altricial,Herbivore,Herbivore
111,Phascolarctos_cincereus_Pcin3-8_30days,I,60.88624648,Metatheria,Marsupialia,Phascolarctos cincereus,4.109007311,12.27750774,Group1,I,Group2,4,Group2,Super-altricial,Herbivore,Herbivore
112,Phascolarctos_cincereus_Pcin3-9_15days,E,36.98384936,Metatheria,Marsupialia,Phascolarctos cincereus,3.610481314,7.457669394,Group1,E,Group1,1,Group1,Super-altricial,Herbivore,Herbivore
113,Phascolarctos_cincereus_PcinLge02_100+days,A,495.916987,Metatheria,Marsupialia,Phascolarctos cincereus,6.206408548,100,Group4,A,Group4,11,Group4,Super-altricial,Herbivore,Herbivore
114,Phascolarctos_cincereus_PcinLge03_100+days,I,468.5254163,Metatheria,Marsupialia,Phascolarctos cincereus,6.149590351,94.47658148,Group4,SA,Group3,10,Group3,Super-altricial,Herbivore,Herbivore
115,Phascolarctos_cincereus_PcinLge05_60+days,I,428.7546204,Metatheria,Marsupialia,Phascolarctos cincereus,6.060884775,86.45693365,Group4,I,Group2,9,Group3,Super-altricial,Herbivore,Herbivore
116,Rattus_rattus_NHMUK_1997.69,I,107.7910767,Eutheria,Euarchontoglires,Rattus rattus,4.680194879,79.81239412,Group4,I,Group2,3,Group3,Altricial,Omnivore,Omnivore
117,Rattus_rattus_NHMUK_1999.14,A,135.0555611,Eutheria,Euarchontoglires,Rattus rattus,4.905686257,100,Group4,A,Group4,5,Group4,Altricial,Omnivore,Omnivore
118,Rattus_rattus_NHMUK_52.1111,I,109.5993105,Eutheria,Euarchontoglires,Rattus rattus,4.696831083,81.15127552,Group4,SA,Group3,4,Group3,Altricial,Omnivore,Omnivore
119,Rattus_rattus_NHMUK_70.103,I,92.81493044,Eutheria,Euarchontoglires,Rattus rattus,4.530607515,68.72351622,Group3,I,Group2,2,Group2,Altricial,Omnivore,Omnivore
120,Rattus_rattus_NHMUK_79.1343,I,89.84705789,Eutheria,Euarchontoglires,Rattus rattus,4.498108868,66.52599653,Group3,I,Group2,1,Group2,Altricial,Omnivore,Omnivore
121,Setifer_setosus_NHMUK_1974.484,A,171.6190953,Eutheria,Afrotheria,Setifer setosus,5.145277459,100,Group4,A,Group4,8,Group4,Altricial,Omnivore,Omnivore
122,Setifer_setosus_NHMUK_55.12.26.304,I,104.531717,Eutheria,Afrotheria,Setifer setosus,4.649490537,60.90914115,Group3,I,Group2,3,Group2,Altricial,Omnivore,Omnivore
123,Setifer_setosus_NHMUK_70.360,I,105.0931941,Eutheria,Afrotheria,Setifer setosus,4.654847519,61.23630585,Group3,I,Group2,4,Group2,Altricial,Omnivore,Omnivore
124,Setifer_setosus_NHMUK_74.545,I,101.1381444,Eutheria,Afrotheria,Setifer setosus,4.616487349,58.93175478,Group3,I,Group2,2,Group2,Altricial,Omnivore,Omnivore
125,Setifer_setosus_NHMUK_74.554,I,87.64278543,Eutheria,Afrotheria,Setifer setosus,4.473269297,51.06820152,Group2,I,Group2,1,Group1,Altricial,Omnivore,Omnivore
126,Setifer_setosus_NHMUK_76.273,I,155.1016669,Eutheria,Afrotheria,Setifer setosus,5.044080817,90.37552997,Group4,I,Group2,5,Group3,Altricial,Omnivore,Omnivore
127,Setifer_setosus_NHMUK_76.274,I,161.097765,Eutheria,Afrotheria,Setifer setosus,5.082011417,93.86937084,Group4,SA,Group3,7,Group3,Altricial,Omnivore,Omnivore
128,Setifer_setosus_NHMUK_79.545,I,155.8352869,Eutheria,Afrotheria,Setifer setosus,5.048799596,90.80299988,Group4,I,Group2,6,Group3,Altricial,Omnivore,Omnivore
129,Setonix_brachyurus_NHMUK_1989.580,E,88.77683437,Metatheria,Marsupialia,Setonix brachyurus,4.486125742,27.28110596,Group1,E,Group1,1,Group1,Super-altricial,Herbivore,Herbivore
130,Setonix_brachyurus_NHMUK_1989.581,I,95.3851844,Metatheria,Marsupialia,Setonix brachyurus,4.557923267,29.31185079,Group1,I,Group2,2,Group2,Super-altricial,Herbivore,Herbivore
131,Setonix_brachyurus_NHMUK_1989.582,I,119.1275327,Metatheria,Marsupialia,Setonix brachyurus,4.780194623,36.60787035,Group2,I,Group2,3,Group2,Super-altricial,Herbivore,Herbivore
132,Setonix_brachyurus_NHMUK_1989.583,I,127.2781635,Metatheria,Marsupialia,Setonix brachyurus,4.846374955,39.11255779,Group2,I,Group2,4,Group2,Super-altricial,Herbivore,Herbivore
133,Setonix_brachyurus_NHMUK_1989.584,I,137.7669596,Metatheria,Marsupialia,Setonix brachyurus,4.925563559,42.33576303,Group2,I,Group2,5,Group2,Super-altricial,Herbivore,Herbivore
134,Setonix_brachyurus_NHMUK_1989.585,I,158.1120184,Metatheria,Marsupialia,Setonix brachyurus,5.063303759,48.58779611,Group2,I,Group2,6,Group2,Super-altricial,Herbivore,Herbivore
135,Setonix_brachyurus_NHMUK_1989.586,I,164.749358,Metatheria,Marsupialia,Setonix brachyurus,5.104425277,50.62744943,Group2,I,Group2,7,Group2,Super-altricial,Herbivore,Herbivore
